Date,SHELL,BP,TTE,CNA,NG
2020-11-27,1241.6025390625,19.222488403320312,39.16151428222656,30.815431594848633,10.050000190734863
2020-11-30,1178.3824462890625,17.819517135620117,36.558841705322266,30.29745101928711,9.960000038146973
2020-12-01,1208.972900390625,18.439010620117188,37.6779899597168,31.017362594604492,10.170000076293945
2020-12-02,1254.9512939453125,19.19515609741211,38.016334533691406,31.28951644897461,10.3100004196167
2020-12-03,1257.3614501953125,19.459354400634766,38.042362213134766,31.789932250976562,10.130000114440918
2020-12-04,1300.002685546875,20.28837776184082,39.77748107910156,32.03575897216797,10.140000343322754
2020-12-07,1298.8905029296875,19.75088119506836,38.57156753540039,31.675811767578125,10.470000267028809
2020-12-08,1290.9180908203125,19.851093292236328,38.710384368896484,31.737258911132812,10.5
2020-12-09,1282.7607421875,19.95130157470703,38.79713439941406,32.34303283691406,9.949999809265137
2020-12-10,1330.037109375,20.415924072265625,39.60396957397461,32.659088134765625,10.0
2020-12-11,1292.957763671875,20.06973648071289,39.187538146972656,32.992706298828125,9.949999809265137
2020-12-14,1260.8839111328125,19.459354400634766,38.27660369873047,32.825897216796875,9.819999694824219
2020-12-15,1266.63134765625,19.987747192382812,38.95329666137695,33.68627166748047,10.220000267028809
2020-12-16,1290.73291015625,19.88753318786621,38.311302185058594,34.0198860168457,10.479999542236328
2020-12-17,1287.395751953125,19.95130157470703,38.372039794921875,33.6950569152832,10.9399995803833
2020-12-18,1280.3504638671875,19.805538177490234,37.799442291259766,33.74772644042969,10.420000076293945
2020-12-21,1216.203369140625,18.839860916137695,36.905860900878906,33.74772644042969,10.460000038146973
2020-12-22,1213.6077880859375,18.657657623291016,36.60221862792969,33.31753921508789,10.010000228881836
2020-12-23,1237.1531982421875,19.32269859313965,37.704010009765625,33.78284454345703,9.989999771118164
2020-12-24,1230.6641845703125,19.186044692993164,37.704010009765625,33.92331314086914,10.0
2020-12-29,1231.77685546875,19.19515609741211,37.582557678222656,33.56336212158203,9.699999809265137
2020-12-30,1221.2091064453125,19.15871810913086,37.72223663330078,33.74772644042969,9.970000267028809
2020-12-31,1203.0401611328125,18.6940975189209,37.05036926269531,34.204254150390625,9.670000076293945
2021-01-04,1207.11865234375,18.97651481628418,37.46586227416992,33.37899398803711,10.350000381469727
